,car_name,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats
458,Maruti Celerio ZXI AMT Optional,5.25 Lakh,"28,217 kms",Petrol,Automatic,2nd Owner,2018,998 cc,5 Seats
459,Maruti Wagon R LXI,1.40 Lakh,"90,000 kms",Petrol,Manual,2nd Owner,2003,998 cc,5 Seats
460,Honda City 1.5 GXI,1.85 Lakh,"1,20,000 kms",Petrol,Manual,2nd Owner,2005,999 cc,5 Seats
461,Volkswagen Vento 1.0 TSI Highline Plus,10.45 Lakh,"26,000 kms",Petrol,Manual,1st Owner,2021,2987 cc,5 Seats
462,Mercedes-Benz GL-Class 350 CDI Blue Efficiency,30 Lakh,"1,00,000 kms",Diesel,Automatic,2nd Owner,2013,1086 cc,7 Seats
463,Hyundai Santro Sportz BSIV,5 Lakh,"50,000 kms",Petrol,Manual,1st Owner,2019,1461 cc,5 Seats
464,Renault Duster 85PS Diesel RxS,8.75 Lakh,"70,000 kms",Diesel,Manual,1st Owner,2019,1198 cc,5 Seats
465,Honda Amaze E i-Vtech,3.62 Lakh,"80,000 kms",Petrol,Manual,3rd Owner,2016,1196 cc,5 Seats
466,Ford Figo Petrol EXI,1.80 Lakh,"1,57,000 kms",Petrol,Manual,3rd Owner,2010,2184 cc,5 Seats
467,Mahindra Thar LX 4-Str Hard Top Diesel,17.45 Lakh,"15,550 kms",Diesel,Manual,1st Owner,2021,1248 cc,4 Seats
468,Maruti Ertiga SHVS VDI,8 Lakh,"80,000 kms",Diesel,Manual,1st Owner,2017,2179 cc,7 Seats
469,Mahindra XUV500 AT W10 FWD,13.95 Lakh,"59,432 kms",Diesel,Automatic,1st Owner,2017,1598 cc,7 Seats
470,Skoda Rapid 1.6 MPI Style BSIV,10.45 Lakh,"53,047 kms",Petrol,Manual,1st Owner,2020,1598 cc,5 Seats
471,Volkswagen Vento 1.6 Highline,7.75 Lakh,"46,464 kms",Petrol,Manual,1st Owner,2016,998 cc,5 Seats
472,Maruti Zen Estilo VXI BSIII,1.20 Lakh,"70,000 kms",Petrol,Manual,4th Owner,2007,1461 cc,5 Seats
473,Renault Duster 85PS Diesel RxS,10.75 Lakh,"23,000 kms",Diesel,Manual,2nd Owner,2019,2199 cc,5 Seats
474,Kia Carnival Limousine,34.50 Lakh,"30,000 kms",Diesel,Automatic,1st Owner,2020,2143 cc,7 Seats
475,Mercedes-Benz GLC 220d 4MATIC Sport,48.75 Lakh,"22,000 kms",Diesel,Automatic,1st Owner,2018,2596 cc,5 Seats
476,Force Gurkha Xplorer,9.20 Lakh,"35,000 kms",Diesel,Manual,2nd Owner,2018,1582 cc,7 Seats
477,Hyundai Creta 1.6 CRDi SX,10.50 Lakh,"80,000 kms",Diesel,Manual,1st Owner,2016,1799 cc,5 Seats
478,Honda Civic 1.8 S AT,2 Lakh,"1,00,000 kms",Petrol,Automatic,4th Owner,2006,1173 cc,5 Seats
479,Premier Rio Petrol GLX,3.50 Lakh,"95,000 kms",Petrol,Manual,1st Owner,2014,2523 cc,5 Seats
480,Mahindra Jeep CL 500 MDI,2.60 Lakh,"1,00,000 kms",Diesel,Manual,1st Owner,1995,1199 cc,6 Seats
481,Chevrolet Beat LS,1.80 Lakh,"50,000 kms",Petrol,Manual,3rd Owner,2012,1197 cc,5 Seats
482,Maruti Ritz VXI,5.25 Lakh,"64,000 kms",Petrol,Manual,1st Owner,2015,1496 cc,5 Seats
483,Ford Ecosport 1.5 Petrol Titanium Plus AT,10.85 Lakh,"15,509 kms",Petrol,Automatic,2nd Owner,2020,1498 cc,5 Seats
484,Ford Ecosport 1.5 Diesel Titanium,9.65 Lakh,"43,203 kms",Diesel,Manual,2nd Owner,2018,1086 cc,5 Seats
485,Hyundai i10 Era,2.66 Lakh,"80,000 kms",Petrol,Manual,1st Owner,2007,1493 cc,5 Seats
486,Hyundai Creta SX Diesel,17.95 Lakh,"50,000 kms",Diesel,Manual,1st Owner,2020,998 cc,5 Seats
487,Maruti Celerio ZXI AT,4.60 Lakh,"40,000 kms",Petrol,Automatic,2nd Owner,2017,1498 cc,5 Seats
488,Skoda Rapid 1.5 TDI Ambition BSIV,9.95 Lakh,"1,11,000 kms",Diesel,Manual,1st Owner,2020,1298 cc,5 Seats
489,Maruti Esteem Vxi - BSIII,1.20 Lakh,"73,000 kms",Petrol,Manual,2nd Owner,2006,2982 cc,5 Seats
490,Toyota Fortuner 4x2 Manual,16.75 Lakh,"2,20,000 kms",Diesel,Manual,2nd Owner,2014,1197 cc,7 Seats
491,Hyundai Grand i10 1.2 Kappa Sportz Option,5.35 Lakh,"11,717 kms",Petrol,Manual,2nd Owner,2017,2143 cc,5 Seats
492,Mercedes-Benz GLE 250d,56.50 Lakh,"46,000 kms",Diesel,Automatic,2nd Owner,2019,1197 cc,5 Seats
493,Hyundai Grand i10 Nios Sportz,6.48 Lakh,"15,000 kms",Petrol,Manual,1st Owner,2021,1248 cc,5 Seats
494,Maruti Ertiga ZDI,5.95 Lakh,"1,10,000 kms",Diesel,Manual,2nd Owner,2013,2179 cc,7 Seats
495,Mahindra XUV500 AT W10 FWD,14.25 Lakh,"66,968 kms",Diesel,Automatic,1st Owner,2016,1248 cc,7 Seats
496,Maruti Swift Dzire VDI,5 Lakh,"1,20,000 kms",Diesel,Manual,2nd Owner,2015,2523 cc,5 Seats
497,Mahindra Bolero ZLX,7.35 Lakh,"70,000 kms",Diesel,Manual,1st Owner,2018,1197 cc,7 Seats
498,Maruti Swift Dzire AMT ZXI Plus,7.55 Lakh,"47,000 kms",Petrol,Automatic,2nd Owner,2017,1298 cc,5 Seats
499,Maruti Swift ZXI ABS,2.50 Lakh,"1,10,000 kms",Petrol,Manual,4th Owner,2006,1199 cc,5 Seats
500,Volkswagen Polo Diesel Highline 1.2L,4.95 Lakh,"81,000 kms",Diesel,Manual,2nd Owner,2012,1497 cc,5 Seats
501,Honda City CVT,2.25 Lakh,"70,000 kms",Petrol,Automatic,3rd Owner,2005,1497 cc,5 Seats
502,Hyundai Creta SX Executive,15.95 Lakh,"12,662 kms",Petrol,Manual,1st Owner,2021,1591 cc,5 Seats
503,Hyundai Creta 1.6 E Plus,10.25 Lakh,"14,000 kms",Petrol,Manual,1st Owner,2018,1591 cc,5 Seats
504,Hyundai Verna 1.6 SX VTVT,5.75 Lakh,"56,000 kms",Petrol,Manual,2nd Owner,2014,1248 cc,5 Seats
505,Maruti Vitara Brezza VDi Option,9.96 Lakh,"54,000 kms",Diesel,Manual,1st Owner,2019,1197 cc,5 Seats
506,Hyundai i20 Magna Plus,7.75 Lakh,"63,000 kms",Petrol,Manual,1st Owner,2020,1797 cc,5 Seats
507,Hyundai Elantra SX,5.20 Lakh,"40,000 kms",Petrol,Manual,2nd Owner,2013,1061 cc,5 Seats
508,Maruti Zen Estilo 1.1 VXI BSIII,2.10 Lakh,"60,000 kms",Petrol,Manual,2nd Owner,2008,1498 cc,5 Seats
509,Ford Ecosport 1.5 DV5 MT Titanium,6 Lakh,"80,000 kms",Diesel,Manual,2nd Owner,2013,1248 cc,5 Seats
510,Maruti Ertiga SHVS VDI,6.50 Lakh,"1,20,000 kms",Diesel,Manual,1st Owner,2016,1462 cc,7 Seats
511,Toyota Urban cruiser Mid,5.85 Lakh,"15,000 kms",Petrol,Manual,2nd Owner,2022,1298 cc,5 Seats
512,Maruti Swift Dzire ZXi,2.92 Lakh,"2,95,000 kms",Petrol,Manual,2nd Owner,2009,1248 cc,5 Seats
513,Maruti Baleno 1.3 Alpha,6.50 Lakh,"60,000 kms",Diesel,Manual,3rd Owner,2017,1498 cc,5 Seats
514,Renault Scala RxZ AT,4.25 Lakh,"50,000 kms",Petrol,Automatic,1st Owner,2014,1198 cc,5 Seats
515,Honda Brio VX,4.45 Lakh,"55,000 kms",Petrol,Manual,2nd Owner,2014,1499 cc,5 Seats
516,Ford Ecosport 1.5 Ti VCT AT Titanium,6.75 Lakh,"77,000 kms",Petrol,Automatic,2nd Owner,2014,1197 cc,5 Seats
517,Hyundai i20 Sportz 1.2,5.33 Lakh,"33,389 kms",Petrol,Manual,1st Owner,2015,1396 cc,5 Seats
518,Hyundai Verna 1.4 VTVT,5.36 Lakh,"17,526 kms",Petrol,Manual,1st Owner,2014,1197 cc,5 Seats
519,Hyundai Grand i10 1.2 Kappa Sportz BSIV,5.64 Lakh,"15,757 kms",Petrol,Manual,1st Owner,2018,1197 cc,5 Seats
520,Hyundai i10 Sportz,2.78 Lakh,"8,183 kms",Petrol,Manual,1st Owner,2012,1197 cc,5 Seats
521,Maruti Baleno 1.2 Zeta,5.83 Lakh,"32,590 kms",Petrol,Manual,1st Owner,2017,1497 cc,5 Seats
522,Honda City i VTEC VX,6.99 Lakh,"45,423 kms",Petrol,Manual,2nd Owner,2016,1591 cc,5 Seats
523,Hyundai Creta 1.6 VTVT AT SX Plus,9 Lakh,"52,481 kms",Petrol,Automatic,2nd Owner,2016,1197 cc,5 Seats
524,Maruti Ignis 1.2 Sigma BSIV,4.53 Lakh,"22,915 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats
525,Maruti Swift Dzire ZXI,6.01 Lakh,"72,123 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats
526,Hyundai i20 1.2 Spotz,5.75 Lakh,"37,965 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats
527,Hyundai Grand i10 1.2 Kappa Asta,5.30 Lakh,"27,651 kms",Petrol,Manual,1st Owner,2018,1199 cc,5 Seats
528,Honda Jazz 1.2 V i VTEC,4.95 Lakh,"92,771 kms",Petrol,Manual,1st Owner,2016,1591 cc,5 Seats
529,Hyundai Verna VTVT 1.6 SX Option,10.28 Lakh,"51,956 kms",Petrol,Manual,1st Owner,2018,1198 cc,5 Seats
530,Mahindra KUV 100 mFALCON G80 K4 Plus 5str,3.99 Lakh,"34,048 kms",Petrol,Manual,1st Owner,2017,2993 cc,5 Seats
531,BMW 7 Series 730Ld DPE Signature,63.50 Lakh,"47,000 kms",Diesel,Automatic,1st Owner,2017,1968 cc,5 Seats
532,Audi Q3 2.0 TDI,14 Lakh,"60,000 kms",Diesel,Automatic,3rd Owner,2014,1950 cc,5 Seats
533,Mercedes-Benz GLC 220d 4MATIC,47.75 Lakh,"43,000 kms",Diesel,Automatic,1st Owner,2019,1591 cc,5 Seats
534,Hyundai Creta 1.6 VTVT E Plus,8.11 Lakh,"58,596 kms",Petrol,Manual,1st Owner,2017,2967 cc,5 Seats
535,Audi Q7 45 TDI Quattro Technology,48.50 Lakh,"70,000 kms",Diesel,Automatic,1st Owner,2017,1248 cc,7 Seats
536,Maruti Ciaz ZDi Plus SHVS,6.75 Lakh,"69,000 kms",Diesel,Manual,1st Owner,2016,1197 cc,5 Seats
537,Hyundai i10 Magna,2.28 Lakh,"50,152 kms",Petrol,Manual,1st Owner,2011,1461 cc,5 Seats
538,Renault Duster 85PS Diesel RxL,5.14 Lakh,"62,164 kms",Diesel,Manual,1st Owner,2014,1591 cc,5 Seats
539,Hyundai Creta 1.6 VTVT E Plus,8.20 Lakh,"49,929 kms",Petrol,Manual,1st Owner,2017,1197 cc,5 Seats
540,Maruti Ignis 1.2 Alpha BSIV,4.91 Lakh,"60,393 kms",Petrol,Manual,1st Owner,2017,1598 cc,5 Seats
541,Skoda Rapid 1.6 MPI AT Elegance Plus,5.88 Lakh,"46,281 kms",Petrol,Automatic,1st Owner,2016,1199 cc,5 Seats
542,Honda Jazz 1.2 V i VTEC,5.53 Lakh,"53,201 kms",Petrol,Manual,1st Owner,2017,1798 cc,5 Seats
543,Toyota Corolla Altis G MT,7.10 Lakh,"80,056 kms",Petrol,Manual,1st Owner,2015,1197 cc,5 Seats
544,Hyundai Grand i10 Sportz,3.20 Lakh,"76,175 kms",Petrol,Manual,1st Owner,2013,1497 cc,5 Seats
545,Honda City i VTEC V,6.01 Lakh,"51,493 kms",Petrol,Manual,1st Owner,2015,1197 cc,5 Seats
546,Maruti Swift Dzire ZXI,5.32 Lakh,"63,141 kms",Petrol,Manual,1st Owner,2015,1248 cc,5 Seats
547,Maruti Baleno 1.3 Alpha,6.51 Lakh,"37,057 kms",Diesel,Manual,2nd Owner,2017,1798 cc,5 Seats
548,Toyota Corolla Altis GL MT,8.52 Lakh,"60,865 kms",Petrol,Manual,1st Owner,2015,2179 cc,5 Seats
549,Mahindra XUV500 W7 BSIV,11.10 Lakh,"45,407 kms",Diesel,Manual,2nd Owner,2018,2179 cc,7 Seats
550,Mahindra XUV500 W5 BSIV,11.83 Lakh,"52,652 kms",Diesel,Manual,1st Owner,2019,1497 cc,7 Seats
551,Mahindra XUV300 W8 Option Diesel BSIV,10.60 Lakh,"42,923 kms",Diesel,Manual,1st Owner,2019,1591 cc,5 Seats
552,Hyundai Creta 1.6 VTVT SX Plus Dual Tone,9.20 Lakh,"56,052 kms",Petrol,Manual,1st Owner,2017,1396 cc,5 Seats
553,Hyundai i20 Active 1.4,6.51 Lakh,"42,923 kms",Diesel,Manual,1st Owner,2017,1591 cc,5 Seats
554,Hyundai Verna VTVT 1.6 SX,8.44 Lakh,"32,733 kms",Petrol,Manual,2nd Owner,2018,1086 cc,5 Seats
555,Hyundai Santro Xing GL,2.11 Lakh,"62,207 kms",Petrol,Manual,1st Owner,2013,1197 cc,5 Seats
556,Hyundai i20 1.2 Asta Option,6.03 Lakh,"48,352 kms",Petrol,Manual,2nd Owner,2017,1199 cc,5 Seats
557,Honda Jazz 1.2 V AT i VTEC,6 Lakh,"57,080 kms",Petrol,Automatic,1st Owner,2016,1373 cc,5 Seats
558,Maruti Ciaz ZXi,6.30 Lakh,"43,168 kms",Petrol,Manual,1st Owner,2016,1248 cc,5 Seats
559,Maruti SX4 S Cross DDiS 200 Alpha,8.23 Lakh,"69,517 kms",Diesel,Manual,1st Owner,2017,1197 cc,5 Seats
560,Maruti Baleno 1.2 CVT Zeta,6.18 Lakh,"54,166 kms",Petrol,Automatic,1st Owner,2016,1399 cc,5 Seats
561,Ford Figo Diesel ZXI,2.85 Lakh,"67,000 kms",Diesel,Manual,1st Owner,2014,1197 cc,5 Seats
562,Maruti Swift Dzire VXi AT,4.25 Lakh,"21,000 kms",Petrol,Automatic,1st Owner,2012,998 cc,5 Seats
563,Maruti Wagon R LXI CNG Optional,3.90 Lakh,"67,200 kms",Cng,Manual,1st Owner,2014,1248 cc,5 Seats
564,Maruti Ciaz ZDi Plus SHVS,6.75 Lakh,"69,000 kms",Diesel,Manual,1st Owner,2016,998 cc,5 Seats
565,Maruti Wagon R AMT VXI,4.25 Lakh,"46,000 kms",Petrol,Automatic,2nd Owner,2015,1991 cc,5 Seats
566,Mercedes-Benz CLA 200 Sport Edition,20.90 Lakh,"42,000 kms",Petrol,Automatic,1st Owner,2016,998 cc,5 Seats
567,Maruti Wagon R CNG LXI,4.90 Lakh,"59,000 kms",Cng,Manual,1st Owner,2019,1968 cc,5 Seats
568,Audi A6 35 TDI,24.11 Lakh,"50,000 kms",Diesel,Automatic,1st Owner,2015,2179 cc,5 Seats
569,Mahindra XUV500 W8 FWD,4.90 Lakh,"1,15,000 kms",Diesel,Manual,1st Owner,2012,1799 cc,7 Seats
570,Honda Civic 1.8 V AT,3.95 Lakh,"68,000 kms",Petrol,Automatic,1st Owner,2010,1995 cc,5 Seats
571,BMW 3 Series 320i Sedan,7.70 Lakh,"29,000 kms",Petrol,Automatic,2nd Owner,2012,1199 cc,5 Seats
572,Honda Jazz V CVT,5.75 Lakh,"68,000 kms",Petrol,Automatic,1st Owner,2016,1199 cc,5 Seats
573,Honda Jazz 1.2 V i VTEC,5.45 Lakh,"43,000 kms",Petrol,Manual,1st Owner,2016,1968 cc,5 Seats
574,Audi Q3 35 TDI Quattro Premium Plus,30 Lakh,"23,000 kms",Diesel,Automatic,2nd Owner,2019,1495 cc,5 Seats
575,Hyundai Accent Executive,1.85 Lakh,"68,000 kms",Petrol,Manual,1st Owner,2009,1197 cc,5 Seats
576,Hyundai Grand i10 AT Asta,5.40 Lakh,"31,000 kms",Petrol,Automatic,1st Owner,2016,1497 cc,5 Seats
577,Honda City 1.5 S MT,3.25 Lakh,"60,000 kms",Petrol,Manual,2nd Owner,2011,1498 cc,5 Seats
578,Nissan Sunny XL,3.60 Lakh,"59,000 kms",Petrol,Manual,1st Owner,2013,1199 cc,5 Seats
579,Chevrolet Beat LT,2.45 Lakh,"61,000 kms",Petrol,Manual,1st Owner,2014,1991 cc,5 Seats
580,Mercedes-Benz E-Class E 200 CGI,15 Lakh,"52,000 kms",Petrol,Automatic,2nd Owner,2013,1197 cc,5 Seats
581,Maruti Swift Dzire VXI,5.85 Lakh,"41,000 kms",Petrol,Manual,1st Owner,2016,1197 cc,5 Seats
582,Hyundai i20 Asta Option 1.2,4.95 Lakh,"40,008 kms",Petrol,Manual,1st Owner,2014,1591 cc,5 Seats
583,Hyundai Creta 1.6 SX,12.25 Lakh,"38,170 kms",Petrol,Manual,1st Owner,2019,1248 cc,5 Seats
584,Maruti Ciaz ZDi Plus SHVS,7.25 Lakh,"47,000 kms",Diesel,Manual,1st Owner,2016,1248 cc,5 Seats
585,Maruti SX4 S Cross Alpha DDiS 200 SH,9.75 Lakh,"42,332 kms",Diesel,Manual,1st Owner,2018,1498 cc,5 Seats
586,Nissan Sunny XE,2.85 Lakh,"34,000 kms",Petrol,Manual,1st Owner,2012,1197 cc,5 Seats
587,Maruti Swift VVT VXI,5.50 Lakh,"13,000 kms",Petrol,Manual,1st Owner,2017,1462 cc,5 Seats
588,Maruti Ciaz Alpha AT,11.25 Lakh,"10,000 kms",Petrol,Automatic,1st Owner,2021,1197 cc,5 Seats
589,Hyundai i20 1.2 Asta Option with Sunroof,3.99 Lakh,"37,000 kms",Petrol,Manual,1st Owner,2012,1591 cc,5 Seats
590,Hyundai Creta 1.6 SX Automatic,10 Lakh,"39,000 kms",Petrol,Automatic,2nd Owner,2017,1582 cc,5 Seats
591,Hyundai Creta 1.6 SX Automatic Diesel,9.95 Lakh,"1,29,000 kms",Diesel,Automatic,1st Owner,2016,1353 cc,5 Seats
592,Kia Seltos GTX Plus DCT,19.21 Lakh,"20,000 kms",Petrol,Automatic,1st Owner,2021,1197 cc,5 Seats
593,Maruti Swift VXI,3.99 Lakh,"39,000 kms",Petrol,Manual,1st Owner,2013,998 cc,5 Seats
594,Maruti Wagon R LXI CNG,4.65 Lakh,"72,000 kms",Cng,Manual,1st Owner,2017,1582 cc,5 Seats
595,Hyundai Creta 1.6 CRDi AT SX Plus,11 Lakh,"63,000 kms",Diesel,Automatic,1st Owner,2017,4461 cc,5 Seats
596,Toyota Land Cruiser VX Premium,91 Lakh,"90,000 kms",Diesel,Automatic,1st Owner,2015,1995 cc,7 Seats
597,BMW 3 Series GT Luxury Line,25.50 Lakh,"66,000 kms",Diesel,Automatic,1st Owner,2016,1991 cc,5 Seats
598,Mercedes-Benz CLA 200 CGI Sport,19.50 Lakh,"27,000 kms",Petrol,Automatic,2nd Owner,2016,1591 cc,5 Seats
599,Hyundai Verna 1.6 VTVT AT SX,6.50 Lakh,"94,000 kms",Petrol,Automatic,1st Owner,2016,998 cc,5 Seats
600,Hyundai Venue S Turbo,8.90 Lakh,"26,000 kms",Petrol,Manual,1st Owner,2019,998 cc,5 Seats
601,Hyundai Venue SX Opt iMT,11.25 Lakh,"1,199 kms",Petrol,Manual,1st Owner,2021,2143 cc,5 Seats
602,Mercedes-Benz GLE 250d,39.50 Lakh,"51,000 kms",Diesel,Automatic,2nd Owner,2016,2967 cc,5 Seats
603,Audi Q7 3.0 TDI Quattro Premium Plus,19.75 Lakh,"83,800 kms",Diesel,Automatic,2nd Owner,2013,1364 cc,7 Seats
604,Toyota Etios Cross 1.4L VD,5.45 Lakh,"75,000 kms",Diesel,Manual,1st Owner,2016,998 cc,5 Seats
605,Maruti Alto K10 2010-2014 VXI,2.25 Lakh,"13,000 kms",Petrol,Manual,1st Owner,2012,1197 cc,5 Seats
606,Maruti Swift Dzire VXI 1.2 BS IV,6.25 Lakh,"43,136 kms",Petrol,Manual,1st Owner,2017,1997 cc,5 Seats
607,Land Rover Range Rover Evoque 2.0 R-Dynamic SE Diesel,70 Lakh,"18,100 kms",Diesel,Automatic,1st Owner,2020,2143 cc,5 Seats
608,Mercedes-Benz GLE 250d,42.50 Lakh,"46,000 kms",Diesel,Automatic,1st Owner,2016,1198 cc,5 Seats
609,Volkswagen Polo Petrol Highline 1.2L,3.45 Lakh,"32,000 kms",Petrol,Manual,2nd Owner,2013,1995 cc,5 Seats
610,BMW 3 Series 320d Sport Line,16.75 Lakh,"50,000 kms",Diesel,Automatic,1st Owner,2014,1497 cc,5 Seats
611,Honda City i VTEC CVT SV,7.35 Lakh,"58,000 kms",Petrol,Automatic,1st Owner,2016,1497 cc,5 Seats
612,Honda City VTEC,1.58 Lakh,"86,108 kms",Petrol,Manual,1st Owner,2006,1198 cc,5 Seats
613,Nissan Micra XV,2.50 Lakh,"55,630 kms",Petrol,Manual,1st Owner,2011,1199 cc,5 Seats
614,Chevrolet Beat LS,1.34 Lakh,"63,723 kms",Petrol,Manual,1st Owner,2010,2400 cc,5 Seats
615,Volvo S60 D5 Summum,13.25 Lakh,"33,000 kms",Diesel,Automatic,2nd Owner,2014,998 cc,5 Seats
616,Maruti Wagon R LXI CNG,3.40 Lakh,"75,270 kms",Cng,Manual,1st Owner,2016,1197 cc,5 Seats
617,Hyundai i20 1.2 Asta,2.64 Lakh,"80,502 kms",Petrol,Manual,3rd Owner,2011,1368 cc,5 Seats
618,Fiat Linea 1.4 Emotion,2.24 Lakh,"39,520 kms",Petrol,Manual,1st Owner,2013,2498 cc,5 Seats
619,Toyota Camry 2.5 Hybrid,18 Lakh,"38,000 kms",Petrol,Automatic,1st Owner,2017,2179 cc,5 Seats
620,Mahindra XUV500 W8 2WD,4.63 Lakh,"1,16,509 kms",Diesel,Manual,2nd Owner,2012,2967 cc,7 Seats
621,Audi A6 3.0 TDI Quattro Technology,10.85 Lakh,"76,398 kms",Diesel,Automatic,2nd Owner,2012,1995 cc,5 Seats
622,BMW 3 Series 320d Luxury Line,26.74 Lakh,"36,000 kms",Diesel,Automatic,1st Owner,2017,1248 cc,5 Seats
623,Maruti Ciaz VDi Plus SHVS,6.04 Lakh,"64,803 kms",Diesel,Manual,1st Owner,2016,1197 cc,5 Seats
624,Hyundai i20 1.2 Sportz,2.52 Lakh,"34,453 kms",Petrol,Manual,1st Owner,2010,1197 cc,5 Seats
625,Maruti Swift Dzire AMT VXI,5.75 Lakh,"17,348 kms",Petrol,Automatic,2nd Owner,2017,1968 cc,5 Seats
626,Audi Q5 2.0 TDI Premium Plus,14.65 Lakh,"51,000 kms",Diesel,Automatic,2nd Owner,2013,1497 cc,5 Seats
627,Honda City i VTEC VX Option,5.65 Lakh,"58,000 kms",Petrol,Manual,1st Owner,2014,1497 cc,5 Seats
628,Tata Nexon 1.5 Revotorq XM,6 Lakh,"1,02,732 kms",Diesel,Manual,1st Owner,2018,1498 cc,5 Seats
629,Nissan Sunny XL CVT,4 Lakh,"90,592 kms",Petrol,Automatic,1st Owner,2013,1995 cc,5 Seats
630,BMW X1 sDrive 20d xLine,43.75 Lakh,"22,000 kms",Diesel,Automatic,1st Owner,2020,0 cc,5 Seats
631,Tata Nexon EV Prime XZ Plus,15.50 Lakh,"10,000 kms",Electric,Automatic,1st Owner,2022,2993 cc,5 Seats
632,BMW 7 Series 730Ld M Sport,72.50 Lakh,"22,000 kms",Diesel,Automatic,1st Owner,2017,1193 cc,4 Seats
633,Tata Zest Revotron 1.2T XMS,3.25 Lakh,"65,000 kms",Petrol,Manual,2nd Owner,2015,1995 cc,5 Seats
634,Hyundai Tucson 2.0 e-VGT 2WD AT GL,16.25 Lakh,"59,000 kms",Diesel,Automatic,1st Owner,2018,1199 cc,5 Seats
635,Honda Jazz 1.2 V AT i VTEC Privilege,4.95 Lakh,"42,306 kms",Petrol,Automatic,1st Owner,2015,1197 cc,5 Seats
636,Maruti Swift Dzire VXI,4.65 Lakh,"26,000 kms",Petrol,Manual,1st Owner,2014,998 cc,5 Seats
637,Maruti A-Star Vxi,1.60 Lakh,"71,000 kms",Petrol,Manual,3rd Owner,2009,1984 cc,5 Seats
638,Volkswagen Beetle 2.0,11.75 Lakh,"44,000 kms",Petrol,Automatic,1st Owner,2010,1999 cc,4 Seats
639,Land Rover Discovery Sport Si4 HSE,37 Lakh,"11,000 kms",Petrol,Automatic,1st Owner,2017,1198 cc,5 Seats
640,Honda Amaze VX i-Vtech,4.70 Lakh,"19,062 kms",Petrol,Manual,1st Owner,2015,1199 cc,5 Seats
641,Honda WR-V i-VTEC VX,8.35 Lakh,"28,000 kms",Petrol,Manual,1st Owner,2018,2993 cc,5 Seats
642,BMW X5 xDrive 30d,32 Lakh,"78,000 kms",Diesel,Automatic,1st Owner,2015,1197 cc,5 Seats
643,Hyundai Grand i10 Asta,3.90 Lakh,"28,148 kms",Petrol,Manual,1st Owner,2014,1199 cc,5 Seats
644,Volkswagen Polo Diesel Highline 1.2L,3.98 Lakh,"83,634 kms",Diesel,Manual,1st Owner,2013,1373 cc,5 Seats
645,Maruti Ertiga BSIV ZXI,7.11 Lakh,"36,845 kms",Petrol,Manual,1st Owner,2016,1798 cc,7 Seats
646,Toyota Corolla Altis VL AT,7.81 Lakh,"57,000 kms",Petrol,Automatic,1st Owner,2015,1591 cc,5 Seats
647,Hyundai Creta 1.6 VTVT SX Plus,8.25 Lakh,"43,417 kms",Petrol,Manual,1st Owner,2015,1199 cc,5 Seats
648,Honda Amaze S CVT Petrol BSIV,7.75 Lakh,"4,800 kms",Petrol,Automatic,1st Owner,2019,1197 cc,5 Seats
649,Maruti Ritz VXi,3 Lakh,"58,955 kms",Petrol,Manual,1st Owner,2014,2143 cc,5 Seats
650,Mercedes-Benz E-Class E250 CDI,20.25 Lakh,"30,000 kms",Diesel,Automatic,2nd Owner,2015,1591 cc,5 Seats
651,Hyundai Creta 1.6 VTVT SX Plus,9.11 Lakh,"45,005 kms",Petrol,Manual,1st Owner,2016,1493 cc,5 Seats
652,Mahindra TUV 300 T8 AMT,5.99 Lakh,"42,032 kms",Diesel,Automatic,2nd Owner,2016,1498 cc,7 Seats
653,Honda Mobilio S i-DTEC,4.36 Lakh,"89,653 kms",Diesel,Manual,3rd Owner,2014,3198 cc,7 Seats
654,Ford Endeavour 3.2 Titanium AT 4X4,26.50 Lakh,"67,000 kms",Diesel,Automatic,1st Owner,2017,1373 cc,7 Seats
655,Maruti Ertiga VXI,6.25 Lakh,"75,765 kms",Petrol,Manual,2nd Owner,2014,2354 cc,7 Seats
656,Honda CR-V 2.4L 4WD AT,12.50 Lakh,"74,007 kms",Petrol,Automatic,1st Owner,2015,2179 cc,5 Seats
657,Mahindra XUV500 W8 FWD,5.90 Lakh,"63,457 kms",Diesel,Manual,2nd Owner,2013,1591 cc,7 Seats
658,Hyundai Verna 1.6 VTVT AT S Option,6.25 Lakh,"57,000 kms",Petrol,Automatic,2nd Owner,2016,1197 cc,5 Seats
659,Maruti Ignis 1.2 Delta BSIV,3.75 Lakh,"52,217 kms",Petrol,Manual,2nd Owner,2017,1451 cc,5 Seats
660,MG Hector Sharp DCT,15.95 Lakh,"28,000 kms",Petrol,Automatic,1st Owner,2019,1497 cc,5 Seats
661,Honda City 1.5 S AT,2.85 Lakh,"69,000 kms",Petrol,Automatic,1st Owner,2009,2967 cc,5 Seats
662,Audi Q7 45 TDI Quattro Technology,46.50 Lakh,"75,000 kms",Diesel,Automatic,1st Owner,2016,1498 cc,7 Seats
663,Volkswagen Polo 1.5 TDI Comfortline,3.93 Lakh,"71,033 kms",Diesel,Manual,2nd Owner,2014,1248 cc,5 Seats
